연번,시도,시군구,읍면동,리,지번,위도,경도,지번면적(제곱미터),편입면적(제곱미터),취약지역유형,사업종류,지정해제구분,데이터기준일자
가평-2-01호,경기도,가평군,가평읍,두밀리,84임,37.824204 ,127.451209 ,1577,68,산사태,산지사방,지정,2023-07-13
가평-2-01호,경기도,가평군,가평읍,두밀리,산27임,37.825020 ,127.452339 ,13230,416,산사태,산지사방,지정,2023-07-13
가평-2-02호,경기도,가평군,가평읍,두밀리,산30임,37.825895 ,127.448743 ,39592,516,산사태,산지사방,지정,2023-07-13
가평-2-02호,경기도,가평군,가평읍,두밀리,산107,37.816392 ,127.453118 ,694,101,산사태,산지사방,지정,2023-07-13
가평-2-02호,경기도,가평군,가평읍,두밀리,산30-1,37.825066 ,127.448749 ,970,127,산사태,산지사방,지정,2023-07-13
가평-2-02호,경기도,가평군,가평읍,두밀리,109,37.824923 ,127.449023 ,1018,53,산사태,산지사방,지정,2023-07-13
가평-2-03호,경기도,가평군,가평읍,복장리,산132임,37.735893 ,127.504254 ,9322,5354,산사태,산지사방,지정,2023-07-13
가평-2-03호,경기도,가평군,가평읍,복장리,산132-1,37.735977 ,127.504980 ,160,91,산사태,산지사방,지정,2023-07-13
가평-2-04호,경기도,가평군,가평읍,산유리,산113-8,37.758511 ,127.506748 ,809,512,산사태,산지사방,지정,2023-07-13
가평-2-05호,경기도,가평군,가평읍,상색리,산124-2,37.798767 ,127.481023 ,6050,467,산사태,산지사방,지정,2023-07-13
가평-2-05호,경기도,가평군,가평읍,상색리,산126-1,37.797985 ,127.481414 ,320,237,산사태,산지사방,지정,2023-07-13
가평-2-06호,경기도,가평군,가평읍,이화리,39-16임,37.794942 ,127.518327 ,5849,545,산사태,산지사방,지정,2023-07-13
가평-2-07호,경기도,가평군,가평읍,이화리,산70-2임,37.778571 ,127.511917 ,103860,2070,산사태,산지사방,지정,2023-07-13
가평-2-08호,경기도,가평군,가평읍,하색리,산47임,37.812194 ,127.493808 ,7934,211,산사태,산지사방,지정,2023-07-13
가평-2-09호,경기도,가평군,상면,행현리,600-3임,37.751394 ,127.360360 ,3552,374,산사태,산지사방,지정,2023-07-13
가평-2-10호,경기도,가평군,설악면,미사리,산33임,37.713382 ,127.546189 ,7989,4764,산사태,산지사방,지정,2023-07-13
가평-2-10호,경기도,가평군,설악면,미사리,산34임,37.713918 ,127.547320 ,8331,664,산사태,산지사방,지정,2023-07-13
가평-2-11호,경기도,가평군,설악면,엄소리,산30임,37.652538 ,127.495968 ,47504,302,산사태,산지사방,지정,2023-07-13
가평-2-12호,경기도,가평군,설악면,위곡리,산79-3임,37.674759 ,127.517856 ,48510,197,산사태,산지사방,지정,2023-07-13
가평-2-12호,경기도,가평군,설악면,위곡리,산79-4임,37.673241 ,127.519078 ,460,228,산사태,산지사방,지정,2023-07-13
가평-2-13호,경기도,가평군,청평면,대성리,578-4원,37.684570 ,127.373382 ,18464,294,산사태,산지사방,지정,2023-07-13
가평-2-14호,경기도,가평군,청평면,상천리,산32임,37.790840 ,127.436218 ,5256,759,산사태,산지사방,지정,2023-07-13
가평-2-15호,경기도,가평군,가평읍,금대리,산157임,37.773837 ,127.533277 ,13983,351,토석류,계류보전,지정,2023-07-13
가평-2-15호,경기도,가평군,가평읍,금대리,산158-1임,37.774373 ,127.532093 ,661,5,토석류,계류보전,지정,2023-07-13
가평-2-15호,경기도,가평군,가평읍,금대리,산158임,37.773406 ,127.531407 ,28893,182,토석류,계류보전,지정,2023-07-13
